file,token,cls,operator,params,ep_ratio,ref_min_gap_s,label_is_unjustified_conservative,label_note
crossing_000_0a51eb8adf8e5391_G1.png,0a51eb8adf8e5391,crossing,G1,{'delay_s': 1.5},0.47,,,
crossing_001_66a924c7d02159cf_G2.png,66a924c7d02159cf,crossing,G2,{'alpha': 0.65},0.65,,,
crossing_002_97eca45f93285d17_G2.png,97eca45f93285d17,crossing,G2,{'alpha': 0.65},0.66,,,
crossing_003_eed4abcb01455af9_G1.png,eed4abcb01455af9,crossing,G1,{'delay_s': 1.5},0.48,2.8,,
crossing_004_51586a8c23a4569a_G2.png,51586a8c23a4569a,crossing,G2,{'alpha': 0.5},0.65,2.9,,
crossing_005_b172a207771456f1_G1.png,b172a207771456f1,crossing,G1,{'delay_s': 1.0},0.69,3.5,,
crossing_006_a3c4e4bf10d65ddb_G1.png,a3c4e4bf10d65ddb,crossing,G1,{'delay_s': 1.0},0.41,,,
crossing_007_0777f5a7263758be_G2.png,0777f5a7263758be,crossing,G2,{'alpha': 0.65},0.78,3.3,,
crossing_008_8a2df3fb1632552a_G1.png,8a2df3fb1632552a,crossing,G1,{'delay_s': 2.0},0.35,3.8,,
crossing_009_e54d150b34215b84_G2.png,e54d150b34215b84,crossing,G2,{'alpha': 0.65},0.68,2.8,,
crossing_010_6717940e53d45558_G2.png,6717940e53d45558,crossing,G2,{'alpha': 0.65},0.66,,,
crossing_011_647c05f9fa725528_G1.png,647c05f9fa725528,crossing,G1,{'delay_s': 1.0},0.8,,,
crossing_012_9a03bf441e615cd6_G2.png,9a03bf441e615cd6,crossing,G2,{'alpha': 0.5},0.5,3.5,,
crossing_013_610271d0c1515c8c_G2.png,610271d0c1515c8c,crossing,G2,{'alpha': 0.8},0.8,,,
crossing_014_a04f86a92daf50ba_G2.png,a04f86a92daf50ba,crossing,G2,{'alpha': 0.8},0.8,2.6,,
crossing_015_647c05f9fa725528_G1.png,647c05f9fa725528,crossing,G1,{'delay_s': 1.5},0.64,,,
crossing_016_5c934edce20758e5_G2.png,5c934edce20758e5,crossing,G2,{'alpha': 0.5},0.53,2.4000000000000004,,
crossing_017_16a2c04634ab5112_G2.png,16a2c04634ab5112,crossing,G2,{'alpha': 0.5},0.57,,,
crossing_018_7cdcf11e211759cf_G2.png,7cdcf11e211759cf,crossing,G2,{'alpha': 0.8},0.8,,,
crossing_019_47e0ff3bc36a5f69_G2.png,47e0ff3bc36a5f69,crossing,G2,{'alpha': 0.65},0.65,3.5,,
merging_020_b0902109adea5e0f_G2.png,b0902109adea5e0f,merging,G2,{'alpha': 0.65},0.75,2.9,,
merging_021_5517642e588e59d0_G3b.png,5517642e588e59d0,merging,G3b,"{'decel': 2.5, 'start_s': 1.0}",0.46,,,
merging_022_5c5a8066ceae51bc_G3b.png,5c5a8066ceae51bc,merging,G3b,"{'decel': 1.5, 'start_s': 0.0}",0.6,,,
merging_023_03143ef8f2f65a2f_G2.png,03143ef8f2f65a2f,merging,G2,{'alpha': 0.5},0.53,2.7,,
merging_024_fb4a03d7f9395b9a_G2.png,fb4a03d7f9395b9a,merging,G2,{'alpha': 0.5},0.77,,,
merging_025_86c5b7af4b47513d_G1.png,86c5b7af4b47513d,merging,G1,{'delay_s': 1.0},0.44,3.9,,
merging_026_7cc683dca0155801_G2.png,7cc683dca0155801,merging,G2,{'alpha': 0.5},0.52,3.1,,
merging_027_290091fca02b5939_G2.png,290091fca02b5939,merging,G2,{'alpha': 0.5},0.6,3.3,,
merging_028_8aae579b8090538a_G2.png,8aae579b8090538a,merging,G2,{'alpha': 0.65},0.77,2.9,,
merging_029_b94fd2088a4f5688_G2.png,b94fd2088a4f5688,merging,G2,{'alpha': 0.65},0.75,,,
merging_030_b1457b7279f75735_G3b.png,b1457b7279f75735,merging,G3b,"{'decel': 2.5, 'start_s': 1.0}",0.63,3.5,,
merging_031_96a252e16d1553e1_G2.png,96a252e16d1553e1,merging,G2,{'alpha': 0.65},0.77,3.5,,
merging_032_db951dbc3e595c29_G2.png,db951dbc3e595c29,merging,G2,{'alpha': 0.65},0.67,3.5,,
merging_033_52a92230f3245182_G1.png,52a92230f3245182,merging,G1,{'delay_s': 1.0},0.47,,,
merging_034_c648574640a65934_G2.png,c648574640a65934,merging,G2,{'alpha': 0.5},0.64,,,
merging_035_89652dfe12165def_G1.png,89652dfe12165def,merging,G1,{'delay_s': 2.0},0.42,4.0,,
merging_036_a82187d6e7805fa2_G2.png,a82187d6e7805fa2,merging,G2,{'alpha': 0.5},0.51,,,
merging_037_fb4a03d7f9395b9a_G3b.png,fb4a03d7f9395b9a,merging,G3b,"{'decel': 2.5, 'start_s': 1.0}",0.68,,,
merging_038_c6319bbc03fb57d0_G2.png,c6319bbc03fb57d0,merging,G2,{'alpha': 0.65},0.72,,,
merging_039_09be81c492625fd5_G3b.png,09be81c492625fd5,merging,G3b,"{'decel': 1.5, 'start_s': 0.0}",0.57,,,
turn_040_7a18ceb376d859c1_G2.png,7a18ceb376d859c1,turn,G2,{'alpha': 0.5},0.58,,,
